No,Text,Score,Sistem,Sentimen
309,indonesia sudah buru buru mau longgarkan psbb dan membuka kembali sekolah sudah mampukah sistem kesehatan sedisiplin ini,0,netral,netral
310,mungkin awalnya dengan psbb kurva akan menurun tapi dengan penerapan seperti sekarang,0,netral,negatif
311,pertengahan ramadan pasar tradisional kalipucang pangandaran masih sepi dampak psbb,0,netral,netral
312,sanksi sosial psbb itu bagusnya yang berhubungan langsung dengan penerapan psbb misalnya ketangkep tidak pakai masker sanksi sih,0,positif,positif
313,psbb tidak boleh kumpul kumpul,0,positif,netral
314,sampai tutup tahun saja psbb kalau pada badung,0,netral,netral
315,harusnya tidak bisa pulkam karena lagi psbb tapi mamake nyuruh pulang,0,netral,netral
316,maybe ya suka pun mengakui bahwa memang karena bagus psbb nya jadi korban sedikit tapi kalau ada miss case saja,-1,negatif,positif
317,tidak boleh ngumpul lagi psbb,0,positif,netral
318,mau keluar di luar lagi psbb,0,netral,netral
319,lagi ada psbb harus jaga jarak,0,netral,netral
320,di sana gunung di sini gunung jokowi bingung sudah psbb tapi yang positif korona makin bertambah,0,netral,negatif
321,implisit kayanya mbak poinnya pak presiden mau tau kenapa jumlah positif bertambah,1,positif,netral
322,serta besarnya cadangan devisa yang terhimpun melalui perdagangan luar negeri dan hutang luar negeri ini nih skema psbb lockdown,-1,negatif,netral
323,nanti kalau sudah tidak psbb akan hajatan,0,netral,netral
324,saya berkali baca itu berita tapi kok isi beritanya tidak ada bilang jkw bingung isi beritanya seperti nya lebih,-7,negatif,netral
325,hati kecolongan seperti korea selatan dilonggarin psbb sama pemrintah corona nya ada lagi dan kena warga,0,netral,negatif
326,kapan nilai rencana pemerintah longgarkan psbb membingungkan masyarakat,-3,negatif,negatif
327,kalau lockdown tiga minggu pasti dan setelah itu normal pasti tidak ada phk,0,netral,positif
328,diperbandingkan dengan daerah lain untuk memaksudkan evaluasi penerapan psbb hasilnya dki bisa ok atau tidak ok,0,netral,netral
329,psbb belum resmi dimulai hari sabtu rek sekian,-1,negatif,netral
330,tidak efektif sekali sudahlah mending dinormalkan saja psbb tapi dilonggarkan sama saja,-1,negatif,negatif
331,btw di mari mulai hari ini psbb,0,netral,netral
332,have tapi admit psbb di tangerang memang sangat longgar terutama untuk beberapa daerah,1,positif,negatif
333,tidak paham lagi aku dengan negara ini kukira melonggarkan psbb karena kasus sudah semakin turun taunya maha benar,-1,negatif,negatif
334,kalau gajian aku mau beli ini ah biar tidak bosan psbb nya,-1,negatif,netral
335,dong jawabannya ayo ikutan siapa tahu bisa buat bekal psbb,0,netral,netral
336,sekarang tidak bisa beli kesana dulu gresik surabaya sda psbb jadi mencari di toko tuban biasanya ada,-1,negatif,netral
337,psbb masih ketat pekerjaan belum lancar banyak orangtua yang kena phk buat makan saja masih harus usaha malah disuruh,-1,negatif,negatif
338,sudah tidak perlu diperpanjang psbb buktinya masih pada ramai dan macet di luar saya yang tidak pernah keluar jadi lelah,-3,negatif,negatif
339,psbb peraturan sering berubahberubah ternyata ini maksud psbb selama ini ya,0,netral,negatif
340,setelah beberapa hari di rumah akhirnya ikutan psbb penambahan signifikan berat badan juga,-3,negatif,positif
341,artinya dengan psbb masyarakat masih bisa beraktivitas tapi memang dibatasi masyarakat juga harus membatasi diri,-2,negatif,positif
342,lagi musim psbb pernah sayang belum berjodoh,1,positif,negatif
343,bagaimana lagi daripada ekonomi indonesia minus psbb ya tidak guna pakde jadi pusing,-1,netral,negatif
344,lagi psbb malah berkumpul,0,netral,netral
345,ketahuan tidak baca isinya beritanya nih di bahrain tidak ada psbb,-3,negatif,netral
346,psbb pembatasan skala bangsat sekali,0,netral,negatif
347,pembagian blt kemensos abaikan psbb,0,netral,negatif
348,sudah tidak lebaran di bandung gara gara psbb,0,netral,negatif
349,psbb makin susah semua pak bansos belum datang kerja di rumah mudik pulkam tetap di karantina china tetap masuk lapar,-3,negatif,negatif
350,mengapai psbb terus bikin susah rakyat saja kalau mau lockdown kota sekalian kasihan orang yang punya pinjam,-1,negatif,negatif
351,psbb kota prabumulih disetujui kemenkes,0,netral,positif
352,kota palembang siapsiap terapkan psbb,0,netral,positif
353,kelonggaran psbb untuk usia ke bawah pks mayoritas pasien meninggal justru usia,1,positif,negatif
354,kota ini akan segera berlakukan psbb,0,netral,positif
355,sekarang disuruh berdamai dari dulu mengapai pakai social distancing psbb segala sudah saja normal berlaga corona ada,1,positif,negatif
356,yang berita seperti begini pasti tidak dipost media massa lain yang seru dipost menurut mereka kan psbb kendor orang,-2,negatif,negatif
357,kali ini tidak bakalan ada pendemo karena penerapan psbb cerdas kan dia,1,positif,negatif
358,biar kami di indonesia saja ingat ya menurut kbbi kita herd immunity psbb,-2,negatif,netral
359,kasus kebakaran di kota bandung menurun selama psbb,-1,negatif,positif
360,luar biasa ridwan kamil indeks penularan covid yang tadinya now sudah psbb di jawa barat berhasil,0,netral,positif
361,siapa juga yang mengira kalau pandemi nya bakal selama ini kalau tau ya buru,0,netral,netral
362,psbb bukannya belum dilonggarin,-1,negatif,netral
363,rencana pemerintah soal pelonggaran psbb dinilai membingungkan hal ini merujuk pada angka positif virus corona,-1,negatif,negatif
364,karena psbb jadi tidak bisa didemo pintar,1,positif,negatif
365,psbb di mrt,0,netral,netral
366,denpasar ku bukan psbb tapi istilahnya lain,-1,negatif,positif
367,aku tidak mau kumpul lagi psbb,0,netral,netral
368,pelonggaran psbb karena tak mampu tanggung bansos,0,netral,negatif
369,kesempatan mumpung orangorang psbb dia bikin aturan seenak jidat,0,netral,negatif
370,lagunya bikin ingat iklan sosis psbb pembatasan sensualitas besar besaran,0,netral,netral
371,jogja lagi psbb kah paketku dari tanggal tidak gerak,-1,negatif,negatif
372,persoalan wfh dan pekerja di bawah tahun yang sudah diperbolehkan bekerja kembali,0,positif,positif
373,psbb kasus apalagi sekarang psbb dilonggarkan akhirnya rakyat harus bersiap untuk herd immunity jika ini terus berlanjut,-2,negatif,negatif
374,terus apa fungsinya psbb kalau mereka masih pada bodoh seperti itu,-1,negatif,negatif
375,mungkin psbb bisa ada tinjau ulang karena ada lapangan akan banyak kejadian seperti ini mungkin disiplin masker dan cuci tangan,0,netral,negatif
376,bnpb mengharapkan agar masyarakat tetap mematuhi ketentuan dalam psbb dengan begitu proses penularan covid,-1,negatif,positif
377,bagaimana tapi psbb dilonggarkan dibawah tahun boleh aktivitas lah terus yang aktivitas pulang ke rumah,-1,netral,negatif
378,ini psbb masih tidak jalanan ramai sekali ini,-2,negatif,negatif
379,selain masyarakat yang mungkin kurang disiplin di luar faktor paling besar adalah pemerintah,-2,negatif,negatif
380,padahal bulan puasa psbb juga tapi ya rokok ku cepat habis,1,positif,negatif
381,selalu ada untuk anda aturan psbb yang berjalan saat ini membatasi ruang gerak aktivitas kita membatasi saja,-2,negatif,negatif
382,psbb tidak penting kumpul penting,0,netral,negatif
383,relatif kalau tidak sehat mau apa disaat psbb begini juga bisa apa,0,netral,negatif
384,repotnya kami yang hidup di kota selalu bingung ketika psbb memutar otak mencari cara untuk bisa bekerja dan bertemu,-4,negatif,negatif
385,mulai tanggal april diberlakukan pembatasan sosial berskala besar psbb arah masuk dan keluar jakarta,0,positif,netral
386,belum coba nanti mau beres psbb mau,0,netral,netral
387,tanpa psbb bali sukses pakai jurus kearifan lokal ini untuk tangani pandemi corona,2,positif,positif
388,psbb itu ternyata cuma pengalihan arus lalu lintas dan penutupan beberapa ruas jalan saja,-2,negatif,netral
389,lagi memikirkan strategi apa yang harus dilakukan setelah masa psbb selesai ekonomi masih akan sulit tidak sih,0,negatif,negatif
390,kebetulan lagi psbb jadi tidak jualan kak,0,netral,netral
391,penegakan aturan psbb dan bansos saja dia tidak becus dan diduga sarat dengan manipulasi,-2,negatif,negatif
392,pekerjaan mama selama psbb bikin cemilan,0,netral,positif
393,anggota dprd pasaman cekcok tak pakai masker saat psbb,-1,negatif,negatif
394,tapi psbb diperpanjang mau tidak mau ya sekarang sekarang pengin piknik lagi,0,netral,netral
395,yang sudah stay at home psbb pakai masker jaga saja,0,netral,positif
396,iya nih kan lagi lockdown nih mana psbb juga lamarnya online saja ya beb,0,netral,netral
397,kota malang akan segera menerapkan pembatasan sosial berskala besar dalam waktu dekat,0,positif,positif
398,psbb antara trust dan kedisiplinan publik,0,netral,netral
399,palembang akan psbb,0,netral,netral
400,kelamaan psbb sampai kadrun betina ini kena halusinasi atau mungkin skizophrenia ya,0,netral,negatif
401,jauh psbb begini ke solo seperti mau ke pluto,-1,negatif,negatif
402,pasien covid makin bertambah di perpanjangan waktu psbb di banjarmasin,1,positif,negatif
403,semoga jera karena dengan memakai seragam tersebut akhirnya banyak yang tau bahwa orang tersebut salah satu yang melanggar psbb,-1,netral,netral
404,karena jika psbb dijalankan dengan benarbenar ketat layaknya lockdown ekonomi warga akan luluh lantak rakyat,-2,negatif,negatif
405,terkait kebijakan psbb pemerintah seperti kebingungan karena tak ada data yang jelas dan terukur terkait penerapann,0,netral,negatif
406,walaupun memang benar upayaupaya yang dilakukan pemerintah indonesia saat ini masih jauh dari sempurna psbb yang,-1,negatif,negatif
407,apalagi kemudian ada tambahan statement dari menkopulhukam bahwa psbb yang kini sedang berjalan aturannya akan dilonggarkan,-1,negatif,netral
408,tetap menjaga jarak memakai masker jaga kebersihan dan imunitas diri jika memang tak ada pilihan lain,1,positif,positif
409,namun kita akan ada dalam situasi kenormalan baru atau the new normal artinya pembatasan sosial berskala besar,0,positif,netral
410,wajar korona bertambah suruh rakyat mematuhi aturan psbb satpol pp,-1,negatif,netral
411,sabar tunggu psbb kelar kalau sudah kelar baru itu baku hantam,1,positif,netral
412,mana orang bopic yang suka belanja ke sini niskala foto suasana para pedagang dan pembeli,0,netral,netral
413,lupa psbb saya inginnya ke gramedia jalan jalan me time sendiri malah drive thru sama online,-3,negatif,netral
414,apakah ini hasil dari penerapan psbb luar biasa perjuangannya lalu rakyat menunggu apa,1,positif,netral
415,kondisi saat ini tidak perlu psbb yang penting jaga jarak pakai masker itu saja sudah cukup virus ini,-1,negatif,negatif
416,halunya jadi semakin tersalurkan seperti sekarang hei kamu psbb,0,netral,negatif
417,ya memang tidak perlu sudah tepat kalau mau laksanakan psbb harusnya jadi pemimpin yang peka itu minggu pertama covid,1,positif,negatif
418,ya lu enak psbb lu kan mahasiswa anak orang seperti kalau karyawan yang dampak nya dirumahkan diphk mereka,-1,negatif,negatif
419,dana bantuan belum rata sudah psbb saja,1,positif,negatif
420,provinsi paling kafir ini pinjam istilah kadrun paling sukses tangani covid kok bisa selalu ikuti arahan presiden,0,netral,negatif
421,terus apa gunanya psbb,0,positif,negatif
422,lockdown psbb itu sudah tidak benar sekali bagaimana ceritanya yang sehat malah dikarantina,0,netral,negatif
423,apakah benar beritanya soal tanggal penerapan psbb di malang,-1,negatif,netral
424,bawa masker sama handsanitizer psbb,0,netral,netral
425,menurut dedi penanganan corona dengan berbasis kearifan lokal sebab kultur antara kota dan kabupaten yang mayori,1,netral,positif
426,ini yang match pada ngajakin jalan semua begitu saya bilang psbb mereka bilang santai saja keluarga saya kerja sih,-1,negatif,netral
427,psbb jabar berakhir tanggal mei dan tidak diperpanjang,-1,netral,netral
428,disdamkar kota bekasi melaksanakan kegiatan psbb guna mencegah menyebarnya pandemi virus corona atau covid,-1,netral,positif
429,ketegasan tanpa kerasayan harus diterapkan jangan berpolitik dalam covid ini kami sepakat untuk menerapkan konsistensi,-1,negatif,negatif
430,modus pungli saat psbb jual paksa sticker kawal biar lolos pos pemeriksaan,0,netral,negatif
431,aturan pemerintah psbb kenyataannya biasa saja rakyatnya stres menyalahkan psbb tapi ya tetap saja kelayapan tidak ada gunanya,-1,netral,negatif
432,jokowi bingung pasien positif corona tambah banyak disaat psbb diberlakukan masih mau ada rencana pelonggaran,1,positif,negatif
433,aku pikir di pasar baru kalau pasar baru tidak mungkin disitu tempat razia psbb tidak taunya itu tempat di pontianak,0,netral,netral
434,menangis sekali saya lihat notif email sama chat dosen masalahnya kalau bertambah konten saya harus observasi lapangan,0,positif,netral
435,psbb diantara catatan evaluasi dan rencana pelonggaran atas dasar ekonomi,-1,negatif,netral
436,wah jangan begitu dong pak doni harusnya yang dapat apresiasi jempol itu pak mentri nya psbb dki jadi,1,positif,positif
437,sebuah komparasi kritis antara anjing peliharaan dan pelaksanaan psbb,-2,negatif,negatif
438,psbb dilonggarkan yang ada kedodoran eh bpjs naik lagi katanya,-1,negatif,negatif
439,pemerintah mempersiapkan relaksasi atau pelonggaran psbb langkah ini agar perekonomian bisa tetap berjalan di tengah,0,netral,netral
440,lupa masih psbb nanti kita di siram damkar,-1,negatif,netral
441,psbb masih pada bandel terus juni psbb mau dilonggarin serba salah tapi tidak menghilangkan opsi cari mati sendiri ramai,-3,negatif,netral
442,yang bikin psbb tidak berjalan sesuai rencana itu yang bikin psbb tidak menuhin kebutuhan pokok warganya,-1,negatif,negatif
443,kalau perlu satu tahun sekali dilaksanakan psbb,1,positif,positif
444,bersatu lawan corona disiplin dan patuhi psbb agar corona segera sirna,0,netral,positif
445,psbb selesai mau seperti begini saja selama jam tidak apa apa,0,negatif,netral
446,enak bagi yang tidak alergi udara dingin lumayan semenjak psbb jadi balik adem lagi bandung mas,0,netral,positif
447,tidak ada psbb tapi pemberlakuannya seperti psbb jalan utama pada diblokir,0,netral,negatif
448,kok sejak psbb sampai sekarang internetnya lemot sekali min sudah pernah diaduin kak cs juga tapi hasilnya sama saja,-1,negatif,negatif
449,bpjs naik ditengah pandemi jangan heran yang tidak punya beban apa kabar yang kena phk ditengah pandemi,-1,negatif,negatif
450,saat psbb penting pakai tabir surya,-1,negatif,netral
451,tidak perlu buru longgarkan psbb kecuali sudah menampak penurunan kurva positif corona,2,positif,positif
452,katanya rumornya karena banyak yang tidak taat psbb bakal diubah skenarionya jadi herd immunity,-4,negatif,netral
453,pemberlakuan wfh dan psbb masyarakat kian tergantung internet dan konten digital,-2,negatif,netral
454,sanksi untuk pengendara yang melanggar pengendara mobil sepeda motor dan pemilik angkutan umum yang melanggar,-3,negatif,netral
455,hanya sektor yang diizinkan untuk tetap beroperasi selama psbb seperti yang tercantum dalam pergub nomor tahun,0,netral,netral
456,perang lawan wabah covid harus cerdas dan lengkap layanan kesehatan untuk pasien testing massal ponsel,-1,negatif,positif
457,putar balik psbb tidak usah memantau orang,1,positif,netral
458,gedek tidak sih lihat berita beginian seperti menyakiti hati rakyat kecil yang patuh sama psbb,-1,negatif,negatif
459,bawa pemudik begini modus angkutan umum mengelabui petugas psbb di perbatasan,0,netral,netral
460,mayoritas pelanggar di jakarta pusat karena tak memakai masker dan berkerumun,0,netral,netral
461,psbb saja masih pada nakal,-1,negatif,negatif
462,tidak usah bangga ya pak dengan psbb yang buat tidak ada pergerakan covid itu immunitas warga,0,netral,negatif
463,dan pemda bekerjalah serius menyelesaikan pandemi covid banyak pelanggaran psbb,-1,negatif,negatif
464,masa saya mimpi sering jadi terbengkalai begitu gara gara psbb menahun,0,netral,netral
465,ada yang punya adek masih sd selama psbb adek kalian belajarnya jadi bagaimana apakah belajar via zoom,-2,negatif,netral
466,psbb besar anggaran doang bancakan bansos,0,netral,negatif
467,bukan mendadak sontak dilonggarkan biasanya banyak yang duka goreng itu tolong dicatat pelonggaran baru,-3,negatif,negatif
468,psbb oleh anggota dewan dianggap gagal jadi dari arti sebenarnya pun psbb pernah sayang belum berjodoh juga artinya gagal kan,-1,negatif,negatif
469,pelanggar psbb wajib diberi sanksi sosial kata mendagri,0,positif,netral
470,sudah jilid tapi seperti tidak psbb sudah diluar,0,netral,netral
471,jokowi saja bingung apalagi saya jawaban serius sebuah kebijakan akan berjalan,-2,negatif,negatif
472,psbb sini di rumah saya saja,-1,negatif,netral
473,semua semua serba mencla mencle tidak masalah psbb tidak bpjs,1,positif,negatif
474,mengeluhkan orang orang kok tidak takut sama psbb semuanya keluar naik kendaraan dari kendaraan sendiri dasar saya,-2,negatif,negatif
475,pemerintah diminta tidak terburuburu melonggarkan psbb hanya karena kasus covid cenderung melambat,-2,negatif,netral
476,seorang pelanggar psbb di jakarta pusat menerima sanksi memakai rompi oranye dan memungut sampah,0,netral,netral
477,katanya psbb terus kalau naik motor tidak boleh boncengan masih banyak itu di jalan,-2,negatif,netral
478,jangan buru kendorin psbb kalau kasus positif sudah tidak ada kalau masih ada dan cuma berkurang mending perpanjang,0,netral,positif
479,jujur pertama kali ngerantau dan sudah planning buat exodus buat pulang ke malang dari jakarta tanggal,1,positif,netral
480,meski psbb bpjs kesehatan tetap terapkan verifikasi klaim secara manual,0,negatif,netral
481,bpjs ditolak naik bpjs dinaikan juli untung psbb heran psbb masih tinggi sebaran bangun infrastruktur,0,netral,netral
482,oke sayang sabar psbb mall tutup ini,1,positif,netral
483,tidak bisa lebarannya psbb,0,netral,negatif
484,memang perlu di semprot mcd sarinah juga sekalian dua dua nya salah stop comparing kalau tidak pada diam di rumah,-1,negatif,netral
485,tidak sih oma kan psbb jakarta dari maret aku teh tanggal maret pulang sudah ada kondangan di bdg tanggal memang untuk,0,netral,netral
486,psbb yang sudah disetujui oleh menteri kesehatan untuk malang raya segera dilaksanakan,1,positif,positif
487,lagi psbb tidak boleh giveaway dulu,0,positif,netral
488,menjelang psbb malah makin ramai saja ya bukan malah makin sepi,-2,negatif,negatif
489,mau tapi sedang psbb,0,netral,netral
490,bulan ramadhan dan selama masih ada psbb saya tidak tau mau bikin konten apa alhasil sama,0,netral,netral
491,apa rencana kamu jika psbb berakhir kawin tobat jadi orang baikbaik atau berhenti polygami,-2,negatif,netral
492,presiden evaluasi pelaksanaan psbb secara menyeluruh,-1,negatif,netral
493,ikuti aturan psbb kalau kita sayang kesehatan,1,positif,positif
494,mahasiswa ui ciptakan drone untuk bubarkan massa kala psbb covid,0,positif,positif
495,ada yang benaran kena sanksi dari regulasi psbb tidak sih ini ramai sekali infonya masyarakat berkegiatan diluar rumah,-3,negatif,netral
496,wisuda rencana akhir maret tapi ternyata sudah pandemi duluan kalau tau begitu juga,-1,netral,netral
497,rapid tes identifikasi positif isolasi terinfeksi pemetaan wilayah aman psbb ideal,0,netral,positif
498,positif saja mungkin dia lagi ngumpet takut ketawan psbb,1,positif,negatif
499,kota sudah masuk psbb daring juga diperpanjang yaallah,0,netral,netral
500,psbb perekonomian sudah babak belur,0,netral,negatif
501,ada apa sih aku tidak tahu aku di rumah terus dari awal psbb sekalinya keluar cuma cgk pnk itu pun tidak walk,-1,negatif,netral
502,ini bisa kontak kesitu biasnya kita setiap bulan ada tes cuma kalau lagi psbb,-1,negatif,netral
503,tidak menyambung apa urusannya sama pas tidak psbb ke masjid,0,netral,netral
504,wali kota bekasi menegaskan akan memperpanjang psbb untuk ketiga kali pada hari terakhir psbb tahap kedua di kota,-1,netral,netral
505,di saat psbb sambat bareng bareng tiba tiba ada berita iuran bpjs mau dinaikkan luar biasa,-2,negatif,negatif
506,psbb ya kok macet begini padat sekali,-1,negatif,negatif
507,saya juga bahagia akhirnya bisa bawa barang barang kosan ke rumah melewati penjagaan psbb,-2,negatif,positif
508,pas psbb ditiadakan keluar rumah orang orang sudah sukses saja,0,netral,positif
509,pemkot jakut terapkan sanksi bagi pelanggar aturan psbb berita jakarta,-1,negatif,netral
510,padahal kemarin ada pelonggaran psbb,0,netral,netral
511,melanggar psbb,-1,negatif,netral
512,tutup kak terkait penerapan psbb di jawa barat,0,netral,netral
513,polda jawa barat mencatat petugas gabungan membubarkan kali kerumunan orang selama pembatasan sosial berskala besar,-1,positif,netral
514,tidak boleh mendekat psbb,0,positif,netral
515,ncid nilai kebijakan pelonggaran psbb aneh,0,netral,negatif
516,yaallah mau menangis mau pergi keliling sendirian terus berakhir makan sendirian dipojokan tapi lagi psbb tapi sudah,-2,netral,negatif
517,auto mematuhi aturan psbb,0,netral,positif
518,di tasik psbb sepi tidak macet iya,-1,negatif,negatif
519,sebelum jam ya psbb,0,netral,netral
520,karantina wilayah tidak mampu akhirnya buat aturan psbb ala karantina wilayah modus,-1,netral,netral
521,apa itu psbb samarinda harusnya psbb tapi masyarakatnya masih banyak di jalanan,-2,negatif,negatif
522,harusnya bisa ditoleransi secara logika malah harusnya segala kewajiban pajak,-1,negatif,netral
523,ketawa lihat pendapatmu iya tau pemerintah kerja cuma yang seperti begini,0,netral,netral
524,tungguin saja asal kdd psbb kuantarkan bjb kayaknya hari jumat ini mulai psbb jua,0,netral,netral
525,belum lagi mulai banyak narasi soal pelonggaran psbb puncaknya saja belum dilewati kok ya mengomongkan pelonggaran,0,netral,negatif
526,ini psbb apa tahanan kota pakai suratsurat ribet,0,netral,negatif
527,psbb kayanya tidak berlaku buat ojol sudah baru keluar rumah buat ke kantor pln terus lewat barengan sama puluhan ojol,-1,negatif,netral
528,aku sebelum psbb di kantor pesan sutei padahal bawa bekel saking sudah tidak tahan cip ke gancit tutup memang,1,positif,netral
529,sebelum aturan psbb sebelum ada aturan menteri bumn,1,positif,netral
530,pandemi psbb lockdown di rumah saja ekonomi ngadat negara utang lagi rakyat tetap tidak bekerja pajak naik semua,-2,negatif,negatif
531,lebih aman di tambah psbb bulan lagi atau tahun lagi pasti aman,0,netral,positif
532,sampai saat ini juga kuantitas tes yang ditargetkan tidak tercapai penerapan psbb juga kurang tegas buktinya masih ada,-1,negatif,negatif
533,sudah mulai melandai sejak akhir april lalu penambahan kasus menurun angka kesembuhan meningkat tingkat,-1,netral,positif
534,pandemik covid dan imbauan pembatasan sosial berskala besar psbb oleh pemerintah,0,positif,netral
535,beda dengan psbb pkm bisa tingkatkan perekonomian,0,netral,negatif
536,hentikan saja psbb jeritan rakyat menengah kebawah semakin kencang bagi pns dan kelas menengah ke atas,0,netral,negatif
537,psbb cimahi berasa ada pawai obor macet,0,netral,negatif
538,sudah dibilangin tidak usah main di rel lagi bulan puasa lagi psbb juga,-1,negatif,netral
539,dampak pemberlakuan psbb pendapatan ojek online turun drastis hingga persen ya memang harus diakui sejak psbb,-1,negatif,negatif
540,pulang sini lagi psbb tidak boleh keluar,0,positif,netral
541,sih puyo kalau diajak tugas lama sekali puasa juga tidak diajak streaming film saja lancar jaya seperti jalanan pas psbb,-1,negatif,netral
542,ahli jangan longgarkan psbb jangan mimpi pandemi berakhir juni,0,positif,negatif
543,bagaimana mau covidnya terputus kalau masyarakat tidak disiplin pemerintah tidak beri pangan psbb apapun namamu tidak berarti,-2,negatif,negatif
544,psbb jilid sidoarjo makin ketat butuh restu rtrw jika mau keluar rumah,-2,negatif,netral
545,sempat terbesit anjir percuma diam di rumah kalau psbb begini orangorang masih keluar rumah dan ujung nya herd immunity,-4,negatif,negatif
546,pemerintah daerah diy belum mengajukan psbb menegaskan yogyakarta masih menggunakan status tanggap darurat,-1,netral,netral
547,psbb di kabupaten dedi mulyadi terlalu banyak yang harus dikorbankan,-1,negatif,netral
548,puasanya sih tidak berat yang berat psbb nya,-2,negatif,negatif
549,workout mandiri ya dirumah bosan sekali tapi kalau psbb berhenti khawatir outbreak lagi,-4,negatif,negatif
550,malang psbb kok nyalon,0,netral,negatif
551,tidak boleh boncengan psbb,0,positif,netral
552,nah motif anies menyerang terawan adalah karena terawan lah yang mendorong psbb diberlakukan berbeda dengan motif,0,netral,netral
553,siapa yang dipantau name by name tunjukkan data pemantauan tidak ada sama sekali berarti bohong persis,-1,negatif,negatif
554,di malay begini ini yang di indonesia pada tidak mau dicekin itu barangbarang yang ada di mall para tenant yang buka pertama ada,1,positif,netral
555,maka negara pun memberi bantuan berupa aneka subsidi seperti listrik air gas dan pengaturan pembayaran hutang,-1,negatif,netral
556,ternyata di belakang jokowi ada bemper yaitu terawan agus putranto psbb pun yang diberlakukan psbb hanya mengatur,0,netral,netral
557,dana yang sudah masuk ke dki dengan seenak perutnya menggunakan apbd seperti kasus formulae bebas penerapan psbb,0,positif,negatif
558,regulasi menteri perhubungan permenhub soal larangan mudik hanya berlaku untuk daerah pembatasan sosial,0,positif,netral
559,iya tidak akan diperpanjang cuman nanti ikut psbb pulau jawa,0,netral,netral
560,adanya psbb sebenarnya berpengaruh atau tidak,1,positif,netral
561,setiap orang yang melanggar larangan melakukan kegiatan keagamaan di rumah ibadah dan atau di tempat tertentu,-3,negatif,netral
562,teguran untuk yang shalat berjemaah pemerintah provinsi dki jakarta akan menegur warga,0,netral,negatif
563,tidak boleh psbb,0,positif,netral
564,tidak ada duit dek belum bisa mangkal masih psbb,0,netral,negatif
565,pasal ayat indonesia negara hukum berarti negara harus tegas selama bikin aturannya yang baik psbb,0,netral,netral
566,kalem dulu lihat trend nya dulu kang pelonggaran psbb kasus positif meningkat waspada second wave,1,positif,netral
567,saya enek sekali asli lihat corona disini hampir bulan dirumah bokap saya sakit mau tidak mau tidak bisa kerja keluar karena memang,-1,negatif,negatif
568,ini psbb presidennya sontoloyo banyak berulah,0,netral,negatif
569,pengendara mobil sepeda motor dan pemilik angkutan umum yang melanggar aturan psbb juga dikenai sanksi denda hingga derek,-2,negatif,netral
570,takut razia psbb mungkin,0,netral,netral
571,pengemudi ojek online yang nekat mengangkut penumpang saat psbb jakarta akan dikenai sanksi denda maksimal rp,-1,negatif,netral
572,kemarin saya baru beli jam tangan belum sempat di pakai besoknya sudah psbb,0,netral,negatif
573,dpr meminta pemerintah hatihati longgarkan psbb,-1,negatif,negatif
574,lebih baik politisi saja siapa tau psbb cepat kelar,1,positif,netral
575,meskipun tak bisa denda polisi bisa pidana pelanggar psbb sesuai pergub dki,-1,negatif,netral
576,saat ini daripada ngarepin psbb yang suka tidak suka pasti harus berakhir,-1,netral,netral
577,samasamaa kak tidak psbb sih cuman daerah tertentu begitu pada ditutupi jalannya,-1,negatif,netral
578,tolong bikinnya jangan psbb biar saya ke bekasi,0,netral,netral
579,bubarkan saja psbb tidak ada gunanya,-1,positif,negatif
580,buruan main sini psbb mau dilonggarin nih,-1,negatif,netral
581,akibat psbb terlalu lama,0,netral,netral
582,selama psbb mengapai saja aku,0,netral,netral
583,psbb saja morat marit apalagi diterapin lockdown mana tuh seleb yang kemarin teriak lockdown,-1,negatif,negatif
584,masyarakat diimbau untuk terus disiplin menerapkan pembatasan sosial berskala besar psbb,-1,netral,positif
585,ke cirebon dulu ye psbb,0,netral,netral
586,jadi pesimis tidak sih psbb dilonggarkan iuran bpjs dinaikkan kembali aku yang rakyat jelantah makin terjelantah,-2,negatif,negatif
587,psbb oh psbb yang jauh tambah jauh dong,-2,negatif,negatif
588,hey kalian yang masih tidak mengikuti aturan pemerintah buat jaga jarak psbb stop mudik dll,0,netral,netral
589,kan simi simi psbb,0,netral,netral
590,kamu sudah terbiasa psbb sudah setahun nih,0,netral,netral
591,perampokan sistematik berskala besar psbb,0,netral,negatif
592,mengingat tingkat penyebaran yang cukup tinggi terjadi di ibukota akan tetapi hingga kini belum ada efek efektif,-1,negatif,negatif
593,butuh peran tokoh masyarakat guna efektifkan psbb utas local strongman dalam psbb,-2,negatif,positif
594,belum sempat beli masker karena psbb,0,netral,negatif
595,iya sampai juni nah kan duit darimana kalau psbb begini,0,netral,negatif
596,kebosenan psbb,0,netral,negatif
597,mau tanya ini memang kalau psbb jalan utama itu ditutup juga ya dari waktu yang sudah ditentukan begitu,0,netral,netral
598,sudah cukup adakan inter proyeksi psbb cancel psbb malah dijadikan kesempatan ikut nyemil sembako dan basis,0,netral,negatif
599,yuk kak nanti habis corona sama psbb selesai kita kulineran,0,negatif,netral
600,psbb psbb tahi kucing lah mari bukber ayam goreng paket kumpul jam jangan telat,-3,negatif,negatif
601,makin lama psbb aku semakin mendalami skill menjadi batu,0,netral,negatif
602,akun ini psbb untuk beberapa jam kemudian,0,netral,netral
603,mcd artha pesan lewat mamang ojol tidak kalah serunya sambil menunggu sambil pantengin gps mot,1,positif,netral
